player,year,team,round
"Sloane, Rory",2012,adelaide,R1
"Sloane, Rory",2012,adelaide,R2
"Sloane, Rory",2012,adelaide,R3
"Sloane, Rory",2012,adelaide,R4
"Sloane, Rory",2012,adelaide,R5
"Sloane, Rory",2012,adelaide,R6
"Sloane, Rory",2012,adelaide,R7
"Sloane, Rory",2012,adelaide,R8
"Sloane, Rory",2012,adelaide,R9
"Sloane, Rory",2012,adelaide,R10
"Sloane, Rory",2012,adelaide,R12
"Sloane, Rory",2012,adelaide,R13
"Sloane, Rory",2012,adelaide,R14
"Sloane, Rory",2012,adelaide,R15
"Sloane, Rory",2012,adelaide,R16
"Sloane, Rory",2012,adelaide,R17
"Sloane, Rory",2012,adelaide,R18
"Sloane, Rory",2012,adelaide,R19
"Sloane, Rory",2012,adelaide,R20
"Sloane, Rory",2012,adelaide,R21
"Sloane, Rory",2012,adelaide,R23
"Sloane, Rory",2012,adelaide,QF
"Sloane, Rory",2012,adelaide,SF
"Sloane, Rory",2012,adelaide,PF
"Smith, Brodie",2012,adelaide,R1
"Smith, Brodie",2012,adelaide,R2
"Smith, Brodie",2012,adelaide,R3
"Smith, Brodie",2012,adelaide,R4
"Smith, Brodie",2012,adelaide,R5
"Smith, Brodie",2012,adelaide,R6
"Smith, Brodie",2012,adelaide,R7
"Smith, Brodie",2012,adelaide,R8
"Smith, Brodie",2012,adelaide,R9
"Smith, Brodie",2012,adelaide,R10
"Smith, Brodie",2012,adelaide,R14
"Smith, Brodie",2012,adelaide,R15
"Smith, Brodie",2012,adelaide,R16
"Smith, Brodie",2012,adelaide,R17
"Smith, Brodie",2012,adelaide,R18
"Smith, Brodie",2012,adelaide,R19
"Smith, Brodie",2012,adelaide,R20
"Smith, Brodie",2012,adelaide,R22
"Smith, Brodie",2012,adelaide,R23
"Smith, Brodie",2012,adelaide,QF
"Smith, Brodie",2012,adelaide,SF
"Smith, Brodie",2012,adelaide,PF
"Symes, Brad",2012,adelaide,R17
"Symes, Brad",2012,adelaide,R18
"Talia, Daniel",2012,adelaide,R1
"Talia, Daniel",2012,adelaide,R2
"Talia, Daniel",2012,adelaide,R3
"Talia, Daniel",2012,adelaide,R4
"Talia, Daniel",2012,adelaide,R5
"Talia, Daniel",2012,adelaide,R6
"Talia, Daniel",2012,adelaide,R7
"Talia, Daniel",2012,adelaide,R8
"Talia, Daniel",2012,adelaide,R9
"Talia, Daniel",2012,adelaide,R10
"Talia, Daniel",2012,adelaide,R12
"Talia, Daniel",2012,adelaide,R13
"Talia, Daniel",2012,adelaide,R14
"Talia, Daniel",2012,adelaide,R15
"Talia, Daniel",2012,adelaide,R16
"Talia, Daniel",2012,adelaide,R17
"Talia, Daniel",2012,adelaide,R18
"Talia, Daniel",2012,adelaide,R19
"Talia, Daniel",2012,adelaide,R20
"Talia, Daniel",2012,adelaide,R21
"Talia, Daniel",2012,adelaide,R22
"Talia, Daniel",2012,adelaide,R23
"Talia, Daniel",2012,adelaide,QF
"Tambling, Richard",2012,adelaide,R19
"Thompson, Luke",2012,adelaide,R18
"Thompson, Luke",2012,adelaide,SF
"Thompson, Luke",2012,adelaide,PF
"Thompson, Scott",2012,adelaide,R1
"Thompson, Scott",2012,adelaide,R2
"Thompson, Scott",2012,adelaide,R3
"Thompson, Scott",2012,adelaide,R4
"Thompson, Scott",2012,adelaide,R5
"Thompson, Scott",2012,adelaide,R6
"Thompson, Scott",2012,adelaide,R7
"Thompson, Scott",2012,adelaide,R8
"Thompson, Scott",2012,adelaide,R9
"Thompson, Scott",2012,adelaide,R10
"Thompson, Scott",2012,adelaide,R12
"Thompson, Scott",2012,adelaide,R13
"Thompson, Scott",2012,adelaide,R14
"Thompson, Scott",2012,adelaide,R15
"Thompson, Scott",2012,adelaide,R16
"Thompson, Scott",2012,adelaide,R17
"Thompson, Scott",2012,adelaide,R18
"Thompson, Scott",2012,adelaide,R19
"Thompson, Scott",2012,adelaide,R20
"Thompson, Scott",2012,adelaide,R21
"Thompson, Scott",2012,adelaide,R22
"Thompson, Scott",2012,adelaide,R23
"Thompson, Scott",2012,adelaide,QF
"Thompson, Scott",2012,adelaide,SF
"Thompson, Scott",2012,adelaide,PF
"Tippett, Kurt",2012,adelaide,R1
"Tippett, Kurt",2012,adelaide,R2
"Tippett, Kurt",2012,adelaide,R3
"Tippett, Kurt",2012,adelaide,R4
"Tippett, Kurt",2012,adelaide,R5
"Tippett, Kurt",2012,adelaide,R6
"Tippett, Kurt",2012,adelaide,R7
"Tippett, Kurt",2012,adelaide,R8
"Tippett, Kurt",2012,adelaide,R9
"Tippett, Kurt",2012,adelaide,R10
"Tippett, Kurt",2012,adelaide,R12
"Tippett, Kurt",2012,adelaide,R13
"Tippett, Kurt",2012,adelaide,R14
"Tippett, Kurt",2012,adelaide,R15
"Tippett, Kurt",2012,adelaide,R17
"Tippett, Kurt",2012,adelaide,R21
"Tippett, Kurt",2012,adelaide,R22
"Tippett, Kurt",2012,adelaide,R23
"Tippett, Kurt",2012,adelaide,QF
"Tippett, Kurt",2012,adelaide,SF
"Tippett, Kurt",2012,adelaide,PF
"Vince, Bernie",2012,adelaide,R1
"Vince, Bernie",2012,adelaide,R2
"Vince, Bernie",2012,adelaide,R3
"Vince, Bernie",2012,adelaide,R4
"Vince, Bernie",2012,adelaide,R8
"Vince, Bernie",2012,adelaide,R9
"Vince, Bernie",2012,adelaide,R10
