DI_Avg,KI_Avg,MK_Avg,HB_Avg,GL_Avg,BH_Avg,HO_Avg,TK_Avg,RB_Avg,I5_Avg,CL_Avg,target
  17.47264,  20.48562,  10.35235,  -3.01298,   6.78990,   2.40451,  11.42963,   6.81969,  -5.74126,  13.25892,   5.17315,   1.00000
 -25.13029,   4.27571,   5.59931, -29.40601,   4.73946,   2.88600, -16.15108,  -0.36985,  -0.51522,   5.19726,  -3.32110,   1.00000
  18.35240,   5.74872,  -7.24281,  12.60368,   6.55635,   1.87743,  10.39756,  13.82648,  -4.83359,  12.81021,   5.04327,   1.00000
  45.57718,  34.24210,  17.92033,  11.33508,   4.55071,   3.55071, -17.65575,  16.52146,  -2.17142,  13.73454,   1.99334,   1.00000
  31.94403,  14.28888,  -0.88211,  17.65514,   4.35838,   0.95227, -12.18482,  -1.80070,   0.71849,   3.53409,   7.07641,   1.00000
  -5.68539,  10.56462,   9.00894, -16.25001,   0.83799,   2.05696,  10.50725,  10.19870,   2.42530,  -3.68298,   0.49167,   0.00000
   2.18410,   9.29788,   5.30831,  -7.11378,   2.29506,   1.89246,  -5.22064,  -2.50786,   4.04173,  -0.49428,  -3.07142,   0.00000
  15.09143,   5.04901,  -3.93348,  10.04243,   1.16179,  -1.43053, -17.55179,  -3.32582,   3.94696,   3.41208,  -4.24972,   0.00000
 -17.47530,  -0.72157,  -0.74606, -16.75373,  -3.12645,  -2.25792,  -4.05803,   9.35057,   6.10891,  -3.40404,   4.00350,   0.00000
  24.90466,   6.66152, -12.25366,  18.24314,   2.59165,   0.54790,  20.75029,   8.83445,   2.31056,   7.25087,   4.07161,   1.00000
 -16.11676, -31.61440,  -8.89619,  15.49764,  -3.45708,  -3.35853, -30.09455,  -1.27425,  -3.52211,  -5.17227, -10.61580,   0.00000
  -3.70853,  -5.14305,   2.40884,   1.43452,   3.75266,  -0.09544,  -3.36238,   4.81179,  -5.83069,  -3.89851,  -2.84309,   1.00000
  22.12819,  17.02244,   8.77354,   5.10575,   9.80190,   6.94562,   1.89624,   8.59350, -12.61315,  19.65703,   1.07292,   1.00000
   3.47826, -15.82699,  -5.27790,  19.30525,  -2.52124,  -0.36110,  -3.88248, -14.89021,   2.23091,  -7.71882,   4.10357,   0.00000
   2.98693,  26.55088,   9.02515, -23.56395,   3.43109,   0.70417, -17.68863,  11.67891,   0.69780,   3.29191,  -1.77646,   1.00000
   2.88721,  -3.52160,   2.61239,   6.40881,   4.25315,  -0.13555,  11.19262, -12.34402,   4.05527,   3.13926,  -6.31096,   1.00000
 -37.31402, -34.65093, -18.60998,  -2.66309,  -4.49286,  -0.15215,  18.20865,  -4.91529,  -1.26985,  -6.39055,  -3.12874,   0.00000
 -15.35344, -34.76825, -16.26553,  19.41481,  -2.93645,  -2.33436,   3.96408,   2.03925,  -5.86359,  -6.21984,   4.93547,   0.00000
   0.61370,   7.51460,   8.51138,  -6.90090,   1.28333,   0.17133,  -1.10477,   2.35277,  -1.19026,   2.29938,  -8.71514,   0.00000
 -17.71787, -12.54899,  -3.79261,  -5.16887,  -0.40899,  -0.97192,  -5.75942,   4.54947,  -6.00375,   1.42977,  -2.35438,   0.00000
   1.54100, -11.69874, -11.77631,  13.23974,  -2.12218,  -0.46150,  -3.67119,  -1.18002,   3.58087,  -1.35818,   5.49463,   0.00000
  -7.19290, -25.76050,  -9.32291,  18.56760,  -5.05278,  -1.19319, -15.13021,   2.09709,   0.76987, -10.61269,  -8.27464,   0.00000
   7.98952,  -1.05102,   1.00896,   9.04054,  -6.12389,  -2.06090,   0.44003,  -4.70771,   3.60352,  -6.84589,  -1.05728,   0.00000
 -31.02711, -14.34903,  12.24319, -16.67808,  -5.38362,  -1.92833,   1.11033, -17.48189,  -7.68243,  -5.65533,  -4.69468,   0.00000
   2.54434,  -5.91845,  -1.87101,   8.46279,  -1.07190,  -1.98377, -11.96707,  12.48599,  -4.18717,   1.29490,   1.54905,   1.00000
 -13.05105,  -3.16180,   3.10985,  -9.88926,  -2.41032,  -1.16262,   0.99366,  -3.58694,   5.31094,  -9.97956,  -3.61561,   0.00000
  -4.63506,   5.45775,  -7.44139, -10.09282,   0.09046,   0.56847,  -7.36384,   4.15283,   0.09510,  -0.03883,   7.25157,   1.00000
  -4.91026, -10.81061,  -7.33070,   5.90035,  -0.92141,   1.17313,   2.87210,  -9.89434,  -6.25405,  -1.14404,   1.99266,   0.00000
  -6.67874,   3.30889,   4.73190,  -9.98764,  -0.43808,   0.89633,   9.12724,   9.05300,   1.49439,   0.71387,  -7.08016,   0.00000
  31.77859,   2.79969,  -0.59033,  28.97891,  -1.99918,  -0.53569,  26.91031,  -8.10171,   5.54606,   2.88918,   3.56776,   0.00000
   8.03339, -12.46440, -21.41802,  20.49779,   0.19764,  -0.73190,  17.98236,   5.37024,   3.85236,   1.84587,   3.38948,   1.00000
   6.34293,   5.16388,   2.41977,   1.17905,  -2.26755,   2.30217,   1.01086,   1.48155,  -4.84027,  -1.77934,   1.89185,   0.00000
  37.50431,  41.30758,  18.69633,  -3.80326,   4.49431,   4.71207,   9.82741,  11.41194,  -0.91631,  15.12261,   3.20098,   1.00000
 -40.80366, -17.38517,  -0.37746, -23.41849,  -0.11007,  -1.41741,   3.34926, -12.70377,   1.09069,  -8.83749,  -9.63296,   0.00000
  17.66235,   1.39788,   4.16918,  16.26446,  -1.40348,  -0.32771,  11.27769,  14.46000,   0.53276,   4.29494,  -2.15700,   1.00000
  39.34882,  16.63367,   7.75336,  22.71516,   6.31134,   1.25184,  -6.89723,  -7.41424,  -1.86350,   8.41506,   1.11374,   1.00000
  -4.19872,  -5.77995,  -4.91924,   1.58123,  -2.30783,  -1.86004,   2.79092,  -5.80909,   2.03077,  -9.16352,  -0.37728,   0.00000
